date,homeTeam,awayTeam,homeScore,awayScore
2024-04-24,CLE,BOS,0.0,8.0
2024-04-24,CIN,PHI,7.0,4.0
2024-04-24,CHN,HOU,4.0,3.0
2024-04-24,ATL,MIA,4.0,3.0
2024-04-24,ANA,BAL,5.0,6.0
2024-04-24,KCA,TOR,3.0,2.0
2024-04-25,WAS,LAN,1.0,2.0
2024-04-25,TEX,SEA,3.0,4.0
2024-04-25,PIT,MIL,5.0,7.0
2024-04-25,NYA,OAK,1.0,3.0
2024-04-25,MIN,CHA,6.0,3.0
2024-04-25,KCA,TOR,2.0,1.0
2024-04-25,CLE,BOS,6.0,4.0
2024-04-25,CIN,PHI,0.0,5.0
2024-04-25,CHN,HOU,3.0,1.0
2024-04-25,COL,SDN,10.0,9.0
2024-04-26,NYN,SLN,2.0,4.0
2024-04-26,TEX,CIN,2.0,1.0
2024-04-26,TOR,LAN,2.0,12.0
2024-04-26,SFN,PIT,3.0,0.0
2024-04-26,SEA,ARI,6.0,1.0
2024-04-26,SDN,PHI,3.0,9.0
2024-04-26,MIL,NYA,7.0,6.0
2024-04-26,ATL,CLE,6.0,2.0
2024-04-26,DET,KCA,0.0,8.0
2024-04-26,CHA,TBA,9.0,4.0
2024-04-26,BOS,CHN,1.0,7.0
2024-04-26,BAL,OAK,2.0,3.0
2024-04-26,ANA,MIN,3.0,5.0
2024-04-26,MIA,WAS,1.0,3.0
2024-04-27,TOR,LAN,2.0,4.0
2024-04-27,TEX,CIN,4.0,8.0
2024-04-27,SFN,PIT,3.0,4.0
2024-04-27,SEA,ARI,3.0,1.0
2024-04-27,SDN,PHI,1.0,5.0
2024-04-27,NYN,SLN,4.0,7.0
2024-04-27,MIL,NYA,3.0,15.0
2024-04-27,MIA,WAS,4.0,11.0
2024-04-27,DET,KCA,6.0,5.0
2024-04-27,COL,HOU,4.0,12.0
2024-04-27,CHA,TBA,8.0,7.0
2024-04-27,BOS,CHN,17.0,0.0
2024-04-27,BAL,OAK,7.0,0.0
2024-04-27,ATL,CLE,2.0,4.0
2024-04-27,ANA,MIN,5.0,16.0
2024-04-28,TOR,LAN,3.0,1.0
2024-04-28,SFN,PIT,3.0,2.0
2024-04-28,SEA,ARI,2.0,3.0
2024-04-28,SDN,PHI,6.0,8.0
2024-04-28,NYN,SLN,4.0,2.0
2024-04-28,MIL,NYA,5.0,15.0
2024-04-28,MIA,WAS,9.0,12.0
2024-04-28,TEX,CIN,4.0,3.0
2024-04-28,COL,HOU,2.0,8.0
2024-04-28,CHA,TBA,4.0,2.0
2024-04-28,BOS,CHN,5.0,4.0
2024-04-28,BAL,OAK,6.0,7.0
2024-04-28,ATL,CLE,4.0,3.0
2024-04-28,ANA,MIN,5.0,11.0
2024-04-28,DET,KCA,4.0,1.0
2024-04-29,TOR,KCA,6.0,5.0
2024-04-29,SEA,ATL,2.0,1.0
2024-04-29,SDN,CIN,2.0,5.0
2024-04-29,OAK,PIT,5.0,1.0
2024-04-29,NYN,CHN,1.0,3.0
2024-04-29,MIL,TBA,0.0,1.0
2024-04-29,MIA,WAS,2.0,7.0
2024-04-29,CHA,MIN,2.0,3.0
2024-04-29,BAL,NYA,2.0,0.0
2024-04-29,ARI,LAN,4.0,8.0
2024-04-29,ANA,PHI,6.0,5.0
2024-04-30,TEX,WAS,7.0,1.0
2024-04-30,SEA,ATL,3.0,2.0
2024-04-30,TOR,KCA,1.0,4.0
2024-04-30,SDN,CIN,6.0,4.0
2024-04-30,OAK,PIT,5.0,2.0
2024-04-30,NYN,CHN,4.0,2.0
2024-04-30,MIL,TBA,8.0,2.0
2024-04-30,MIA,COL,7.0,6.0
2024-04-30,BAL,NYA,4.0,2.0
2024-04-30,DET,SLN,11.0,6.0
2024-04-30,DET,SLN,1.0,2.0
2024-04-30,CHA,MIN,5.0,6.0
2024-04-30,BOS,SFN,4.0,0.0
2024-04-30,ARI,LAN,4.0,3.0
2024-04-30,ANA,PHI,5.0,7.0
2024-04-30,HOU,CLE,10.0,9.0
2024-05-01,TOR,KCA,1.0,6.0
