id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g
gantj002,Gant,John,R,R,SLN,64,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190925
garca003,Garcia,Avisail,R,R,TBA,130,0,0,0,0,0,0,0,0,0,12,97,105,24,3,0,20190329,20191010
garca006,Garcia,Aramis,R,R,SFN,18,0,0,0,11,5,0,0,0,0,0,0,0,0,3,0,20190509,20190929
garcb001,Garcia,Bryan,R,R,DET,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20190902,20190928
garce001,Garcia,Edgar,R,R,PHI,37,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,20190506,20190929
garcg002,Garcia,Greg,L,R,SDN,134,0,0,0,0,1,74,13,9,1,0,0,1,1,46,0,20190330,20190929
garcj006,Garcia,Jarlin,L,L,MIA,53,53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,20190417,20190929
garcl004,Garcia,Leury,B,R,CHA,140,0,0,0,0,0,2,1,19,24,80,45,120,1,2,2,20190328,20190928
garcl005,Garcia,Luis,R,R,ANA,64,64,2,62,0,0,0,0,0,0,0,0,0,0,0,0,20190330,20190929
garcr005,Garcia,Robel,B,R,CHN,31,0,0,0,0,0,18,0,0,5,0,1,6,1,10,2,20190703,20190929
garcr006,Garcia,Rico,R,R,COL,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20190827,20190917
garcy001,Garcia,Yimi,R,R,LAN,64,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190927
gardb001,Gardner,Brett,L,L,NYA,150,0,0,0,0,0,0,0,0,50,103,0,149,1,3,1,20190328,20191019
garlk001,Garlick,Kyle,R,R,LAN,30,0,0,0,0,0,0,0,0,12,0,5,15,0,18,1,20190519,20190818
garnd001,Garneau,Dustin,R,R,ANA,28,0,0,0,27,1,0,0,0,0,0,0,0,0,1,0,20190523,20190730
garnd001,Garneau,Dustin,R,R,OAK,7,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,20190804,20190815
garra001,Garrett,Amir,R,L,CIN,69,69,0,69,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190929
garrr001,Garrett,Reed,R,R,DET,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,20190329,20190516
gartr001,Garton,Ryan,R,R,SEA,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20190518,20190520
garvm001,Garver,Mitch,R,R,MIN,96,0,0,0,85,1,0,0,0,0,0,0,0,4,14,0,20190330,20191007
gausk001,Gausman,Kevin,L,R,ATL,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,20190405,20190802
gausk001,Gausman,Kevin,L,R,CIN,15,15,1,14,0,0,0,0,0,0,0,0,0,0,0,0,20190808,20190928
gavis001,Gaviglio,Sam,R,R,TOR,52,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,20190331,20190928
gearc001,Gearrin,Cory,R,R,NYA,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,20190824,20190928
gearc001,Gearrin,Cory,R,R,SEA,48,48,2,46,0,0,0,0,0,0,0,0,0,0,0,0,20190320,20190821
genns001,Gennett,Scooter,L,R,CIN,21,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,20190628,20190731
genns001,Gennett,Scooter,L,R,SFN,21,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,20190802,20190826
gerbm001,Gerber,Mike,L,R,SFN,12,0,0,0,0,0,0,0,0,5,0,5,10,0,4,1,20190503,20190927
germd001,German,Domingo,R,R,NYA,27,27,24,3,0,0,0,0,0,0,0,0,0,0,0,0,20190401,20190918
gibai001,Gibaut,Ian,R,R,TBA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190712,20190712
gibai001,Gibaut,Ian,R,R,TEX,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20190817,20190925
gibsk002,Gibson,Kyle,R,R,MIN,35,35,29,6,0,0,0,0,0,0,0,0,0,0,0,0,20190403,20191004
gilek001,Giles,Ken,R,R,TOR,53,53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190928
gilms001,Gilmartin,Sean,L,L,BAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20190621,20190621
ginkk001,Ginkel,Kevin,L,R,ARI,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,20190805,20190928
gioll001,Giolito,Lucas,R,R,ALS,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190709,20190709
gioll001,Giolito,Lucas,R,R,CHA,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,20190331,20190912
givem001,Givens,Mychal,R,R,BAL,58,58,0,58,0,0,0,0,0,0,0,0,0,0,0,0,20190330,20190929
glast001,Glasnow,Tyler,L,R,TBA,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,20190330,20191010
godlz001,Godley,Zack,R,R,ARI,27,27,9,18,0,0,0,0,0,0,0,0,0,0,0,0,20190330,20190803
godlz001,Godley,Zack,R,R,TOR,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20190808,20190901
goinr001,Goins,Ryan,L,R,CHA,52,0,0,0,0,2,0,23,14,1,0,7,8,1,11,2,20190717,20190929
goldp001,Goldschmidt,Paul,R,R,SLN,170,0,0,0,0,168,0,0,0,0,0,0,0,0,3,0,20190328,20191015
